tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
Chính chủ cần tiền bán căn hộ VinHomes quận 9,850000000,850 triệu,14.166667,60.0,,,,6,,2,2,Nguyễn Siễn,Phường Long Phước (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.816424,106.87869,19.99,2025-12-23,NGUYỄN THỊ HƯƠNG,s,https://www.chotot.com/129094642.htm
"🌟 BÁN CĂN HỘ NGỌC LAN, TẦNG CAO CĂN 3PN HIẾM CÓ GIÁ CỰC TỐT",4850000000,"4,85 tỷ",56.725147,85.5,1.0,4.0,3.0,6,,3,2,Đường Phú Thuận,Phường Phú Thuận,Quận 7,Tp Hồ Chí Minh,10.730369,106.73083,6.03,2025-12-23,Hao Anthi,s,https://www.chotot.com/129639900.htm
"Mua nhà đón Tết tại khu căn hộ DreamHome Palace Quận 8, nhà mới ở ngay",2230000000,"2,23 tỷ",42.884617,52.0,7.0,6.0,3.0,5,Dream Home Palace,2,1.0,Trịnh Quang Nghị,Phường 7,Quận 8,Tp Hồ Chí Minh,10.70677,106.62474,11.27,2025-12-23,Vũ Anh,s,https://www.chotot.com/129617328.htm
Bán căn 3 phòng ngủ tầng 10 Lô B view hồ bơi,3950000000,"3,95 tỷ",43.88889,90.0,1.0,8.0,,5,Diamond Riverside (City Gate Towers 2),3,2.0,Võ Văn Kiệt,Phường 16,Quận 8,Tp Hồ Chí Minh,10.72855,106.62393,9.86,2025-12-23,NGUYỄN LÊ DIỄM TRANG,s,https://www.chotot.com/129350003.htm
"Bán căn 1PN,1WC tại moonlight Parkview giá 2,8 tỷ sổ hồng chính chủ",2800000000,"2,8 tỷ",53.846153,52.0,3.0,4.0,3.0,6,Moonlight Park View,1,1.0,An Lạc,Phường An Lạc A,Quận Bình Tân,Tp Hồ Chí Minh,10.7262,106.60442,11.84,2025-12-23,Nguyễn Thị Huệ ,s,https://www.chotot.com/129168655.htm
"Bán căn hộ 2PN Cc The Gold View 346 Bến Vân Đồn,  Quận 4    💎 Diện",7950000000,"7,95 tỷ",88.333336,90.0,,,,5,The Gold View,2,2.0,Bến Vân Đồn,Phường 1,Quận 4,Tp Hồ Chí Minh,10.75691,106.69159,2.3,2025-12-23,TẤN HUY,s,https://www.chotot.com/129863767.htm
OT dt 35m2 Charmington La Pointe Quận 10 chỉ 1ty9 bao sang tên,1900000000,"1,9 tỷ",54.285713,35.0,,,,4,Charmington La Pointe,1,1.0,Cao Thắng,Phường 12,Quận 10,Tp Hồ Chí Minh,10.77479,106.67535,2.74,2025-12-23,Thương Thương,s,https://www.chotot.com/127139475.htm
"Căn hộ TẦNG TRỆT, Khu Emerald Celadon City, tiện kinh doanh, 2pn",4900000000,"4,9 tỷ",83.05085,59.0,,,2.0,5,,2,1.0,Đường N4,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,10.802237,106.61753,9.52,2025-12-23,Mr. Tùng,s,https://www.chotot.com/129863713.htm
căn hộ 1 phòng ngủ -máy giặt riêng gần sân bay TSN,8000000,8 triệu,0.17777778,45.0,,,,4,,1,1.0,Đường Bạch Đằng,Phường 2,Quận Tân Bình,Tp Hồ Chí Minh,10.813324,106.665085,5.7,2025-12-23,Thảo,s,https://www.chotot.com/129863692.htm
"Bán căn hộ chung cư Topaz Garden 2PN - 2WC THOÁNG MÁT, RỘNG RÃI",3500000000,"3,5 tỷ",47.2973,74.0,,,3.0,2,Topaz Garden,2,2.0,Trịnh Đình Thảo,Phường Hòa Thạnh,Quận Tân Phú,Tp Hồ Chí Minh,10.7751,106.63503,7.14,2025-12-23,BĐS CĂN HỘ CHUNG CƯ GIÁ RẺ ,s,https://www.chotot.com/129065906.htm
